"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"1","H0AL02087",2018,"C00493783",212430
"2","H0AL02087",2018,"C00462143",212429
"3","H0AL05163",2018,"C00464149",212432
"4","H0AL07086",2018,"C00458976",212434
"5","H0AR01083",2018,"C00462374",212436
"6","H0AR01083",2018,"C00493783",212437
"7","H0AR03055",2018,"C00477745",212443
"8","H0AR03055",2018,"C00497149",212444
"9","H0AZ01259",2018,"C00461806",212446
"10","H0CA03078",2018,"C00461061",212458
"11","H0CA03078",2018,"C00519900",212459
"12","H0CA10073",2018,"C00554709",212463
"13","H0CA10149",2018,"C00462697",212466
"14","H0CA17185",2018,"C00690545",221987
"15","H0CA19173",2018,"C00473272",212477
"16","H0CA19173",2018,"C00496018",212478
"17","H0CA27085",2018,"C00648626",217413
"18","H0CA27085",2018,"C00639864",217127
"19","H0CA27085",2018,"C00343871",212481
"20","H0CA32101",2018,"C00458125",212486
"21","H0CA33117",2018,"C00476523",212491
"22","H0CA48024",2018,"C00350520",212497
"23","H0CA48024",2018,"C00493528",212498
"24","H0CA49055",2018,"C00344671",212499
"25","H0CT03072",2018,"C00238865",212508
"26","H0CT05127",2018,"C00462663",212512
"27","H0DC00058",2018,"C00244335",212513
"28","H0DE01025",2018,"C00548040",212520
"29","H0FL02086",2018,"C00460261",212521
"30","H0FL08208",2018,"C00481911",212533
"31","H0FL12101",2018,"C00459461",212536
"32","H0FL17068",2018,"C00460055",212540
"33","H0FL19080",2018,"C00469163",212545
"34","H0GA06143",2018,"C00633529",216760
"35","H0GA07125",2018,"C00544445",212557
"36","H0GA07125",2018,"C00569079",212558
"37","H0GA07133",2018,"C00482307",212559
"38","H0GA08099",2018,"C00493783",212564
"39","H0GA08099",2018,"C00482737",212563
"40","H0GA08099",2018,"C00544510",212565
"41","H0GA09030",2018,"C00501866",212567
"42","H0GA09030",2018,"C00462556",212566
"43","H0ID01253",2018,"C00470948",212587
"44","H0IL05096",2018,"C00457556",212595
"45","H0IL11052",2018,"C00458877",212612
"46","H0IL14080",2018,"C00467522",212613
"47","H0IL14080",2018,"C00493783",212614
"48","H0IN02125",2018,"C00547430",212622
"49","H0IN02190",2018,"C00468579",212623
"50","H0IN06084",2018,"C00668632",219486
"51","H0IN08114",2018,"C00624841",212630
"52","H0IN08114",2018,"C00679605",221340
"53","H0IN08114",2018,"C00468256",212629
"54","H0KS03137",2018,"C00472365",212638
"55","H0KS04051",2018,"C00460402",212641
"56","H0KY05015",2018,"C00116632",212643
"57","H0KY06104",2018,"C00467571",212645
"58","H0LA01087",2018,"C00394957",212646
"59","H0LA01087",2018,"C00568162",212647
"60","H0MA10082",2018,"C00479063",212657
