"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AK00097","COX, JOHN ROBERT","REP",2012,"H","AK",0,"C00525261"
"2","H0AL01030","GOUNARES, PETER HUNTER","REP",2012,"H","AL",1,"C00459495"
"3","H0AL02087","ROBY, MARTHA","REP",2012,"H","AL",2,"C00462143"
"4","H0AL05163","BROOKS, MO","REP",2012,"H","AL",5,"C00464149"
"5","H0AL07086","SEWELL, TERRYCINA ANDREA","DEM",2012,"H","AL",7,"C00458976"
"6","H0AL07177","CHAMBERLAIN, DON","REP",2012,"H","AL",7,"C00482059"
"7","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2012,"H","AR",1,"C00462374"
"8","H0AR02107","GRIFFIN, JOHN TIMOTHY","REP",2012,"H","AR",2,"C00468116"
"9","H0AR03055","WOMACK, STEVE","REP",2012,"H","AR",3,"C00477745"
"10","H0AR04038","ROSS, MICHAEL AVERY","DEM",2012,"H","AR",4,"C00345710"
"11","H0AR04079","RANKIN, BETH ANNE","REP",2012,"H","AR",4,"C00478636"
"12","H0AS00018","FALEOMAVAEGA, ENI","DEM",2012,"H","AS",0,"C00231092"
"13","H0AZ01184","FLAKE, JEFF MR.","REP",2012,"H","AZ",6,"C00347260"
"14","H0AZ01259","GOSAR, PAUL ANTHONY","REP",2012,"H","AZ",4,"C00461806"
"15","H0AZ02141","BLACK, CHARLES ROLAND","REP",2012,"H","AZ",2,"C00474528"
"16","H0AZ03248","SCHARER, GENE PAUL","DEM",2012,"H","AZ",8,"C00518381"
"17","H0AZ03321","PARKER, VERNON","REP",2012,"H","AZ",9,"C00474916"
"18","H0AZ03362","QUAYLE, BEN","REP",2012,"H","AZ",6,"C00475863"
"19","H0AZ07033","FLOWERS, CHRISTOPHER JOHN","REP",2012,"H","AZ",7,""
"20","H0AZ08015","KELLY, JESSE","REP",2012,"H","AZ",2,"C00460808"
"21","H0AZ08056","PATON, JONATHAN","REP",2012,"H","AZ",1,"C00474270"
"22","H0CA00082","PORTANTINO, ANTHONY","DEM",2012,"H","CA",29,"C00479188"
"23","H0CA00090","RAY, EUGENE","REP",2012,"H","CA",3,"C00479287"
"24","H0CA02120","STIGLICH, PETER VINCENT","REP",2012,"H","CA",1,"C00509208"
"25","H0CA02138","REED, JAMES E","DEM",2012,"H","CA",1,"C00502146"
"26","H0CA03078","BERA, AMERISH","DEM",2012,"H","CA",7,"C00461061"
"27","H0CA05073","SMITT, ERIK","REP",2012,"H","CA",6,"C00478651"
"28","H0CA06121","ROBERTS, DANIEL ","REP",2012,"H","CA",2,"C00502781"
"29","H0CA07103","TUBBS, RICHARD STEPHEN II","REP",2012,"H","CA",3,"C00503334"
"30","H0CA07111","FITZGERALD, JOHN","DEM",2012,"H","CA",11,"C00516591"
"31","H0CA08069","DENNIS, JOHN","REP",2012,"H","CA",12,"C00515932"
"32","H0CA08077","SHIELDS, SUMMER J","DEM",2012,"H","CA",12,"C00471680"
"33","H0CA10149","GARAMENDI, JOHN","DEM",2012,"H","CA",3,"C00462697"
"34","H0CA10172","PETERSON, DAVID","DEM",2012,"H","CA",12,"C00463257"
"35","H0CA13093","JELINCIC, JUSTIN","DEM",2012,"H","CA",13,"C00481564"
"36","H0CA14075","CHAPMAN, DAVE","DEM",2012,"H","CA",18,""
"37","H0CA15148","HONDA, MIKE","DEM",2012,"H","CA",17,"C00351379"
"38","H0CA15171","SIMITIAN, S JOSEPH","DEM",2012,"H","CA",15,"C00458117"
"39","H0CA18050","BERRYHILL, MICHAEL CLARE SR","REP",2012,"H","CA",18,"C00466508"
"40","H0CA19082","HERNANDEZ, JOHN S","DEM",2012,"H","CA",21,"C00511451"
"41","H0CA19132","GOODWIN, LORAINE","DEM",2012,"H","CA",16,"C00502567"
"42","H0CA19173","DENHAM, JEFF","REP",2012,"H","CA",10,"C00473272"
"43","H0CA23043","KALEMKARIAN, TIMOTHY CHARLES","REP",2012,"H","CA",26,"C00520742"
"44","H0CA23068","GOLDBERG, ALBERT MAXWELL","DEM",2012,"H","CA",26,"C00517029"
"45","H0CA23118","WATSON, THOMAS C","REP",2012,"H","CA",23,"C00478164"
"46","H0CA26087","MILLER, DAVID LAWRENCE","REP",2012,"H","CA",32,"C00479956"
"47","H0CA27085","SCHIFF, ADAM","DEM",2012,"H","CA",28,"C00343871"
"48","H0CA27101","REED, MARK ","REP",2012,"H","CA",30,"C00462317"
"49","H0CA28109","WORMAN, JENNY","REP",2012,"H","CA",28,"C00513663"
"50","H0CA28117","VALDEZ, RICHARD","DEM",2012,"H","CA",29,"C00481895"
"51","H0CA30089","BENNING, DAVID","REP",2012,"H","CA",30,"C00471128"
