"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AL02087","ROBY, MARTHA","REP",2018,"H","AL",2,"C00462143"
"2","H0AL05163","BROOKS, MO","REP",2018,"H","AL",5,"C00464149"
"3","H0AL07086","SEWELL, TERRI A.","DEM",2018,"H","AL",7,"C00458976"
"4","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2018,"H","AR",1,"C00462374"
"5","H0AR03055","WOMACK, STEVE","REP",2018,"H","AR",3,"C00477745"
"6","H0AZ01259","GOSAR, PAUL DR.","REP",2018,"H","AZ",4,"C00461806"
"7","H0AZ03248","SCHARER, GENE PAUL","DEM",2018,"H","AZ",8,"C00518381"
"8","H0CA03078","BERA, AMERISH","DEM",2018,"H","CA",7,"C00461061"
"9","H0CA07111","FITZGERALD, JOHN","REP",2018,"H","CA",11,"C00516591"
"10","H0CA10073","DESAULNIER, MARK","DEM",2018,"H","CA",11,"C00554709"
"11","H0CA10149","GARAMENDI, JOHN","DEM",2018,"H","CA",3,"C00462697"
"12","H0CA19173","DENHAM, JEFF","REP",2018,"H","CA",10,"C00473272"
"13","H0CA27085","SCHIFF, ADAM","DEM",2018,"H","CA",28,"C00343871"
"14","H0CA32101","CHU, JUDY","DEM",2018,"H","CA",27,"C00458125"
"15","H0CA33117","BASS, KAREN","DEM",2018,"H","CA",37,"C00476523"
"16","H0CA48024","ISSA, DARRELL","REP",2018,"H","CA",49,"C00350520"
"17","H0CA49055","DAVIS, SUSAN A","DEM",2018,"H","CA",53,"C00344671"
"18","H0CT03072","DELAURO, ROSA L","DEM",2018,"H","CT",3,"C00238865"
"19","H0CT05127","PISTONE, JOHN","REP",2018,"H","CT",5,"C00462663"
"20","H0DC00058","NORTON, ELEANOR HOLMES","DEM",2018,"H","DC",0,"C00244335"
"21","H0DE01025","IZZO, ROSE","DEM",2018,"H","DE",0,"C00548040"
"22","H0FL02086","LAWSON, ALFRED JR","DEM",2018,"H","FL",5,"C00460261"
"23","H0FL08208","WEBSTER, DANIEL","REP",2018,"H","FL",11,"C00481911"
"24","H0FL12101","ROSS, DENNIS ALAN","REP",2018,"H","FL",15,"C00459461"
"25","H0FL17068","WILSON, FREDERICA S.","DEM",2018,"H","FL",24,"C00460055"
"26","H0FL18025","ROS-LEHTINEN, ILEANA THE HON.","REP",2018,"H","FL",27,"C00280537"
"27","H0FL19080","DEUTCH, THEODORE ELIOT","DEM",2018,"H","FL",22,"C00469163"
"28","H0GA06143","BHUIYAN, MOHAMMAD ALI","REP",2018,"H","GA",6,"C00633529"
"29","H0GA07125","HICE, JODY","REP",2018,"H","GA",10,"C00544445"
"30","H0GA07133","WOODALL, ROB REP.","REP",2018,"H","GA",7,"C00482307"
"31","H0GA08099","SCOTT, JAMES AUSTIN","REP",2018,"H","GA",8,"C00482737"
"32","H0GA09030","GRAVES, JOHN THOMAS MR. JR.","REP",2018,"H","GA",14,"C00462556"
"33","H0ID01253","LABRADOR, RAUL R. HON.","REP",2018,"H","ID",1,"C00470948"
"34","H0IL05096","QUIGLEY, MIKE","DEM",2018,"H","IL",5,"C00457556"
"35","H0IL11052","KINZINGER, ADAM","REP",2018,"H","IL",16,"C00458877"
"36","H0IL14080","HULTGREN, RANDY","REP",2018,"H","IL",14,"C00467522"
"37","H0IN02125","MESSER, ALLEN LUCAS","REP",2018,"H","IN",6,"C00460667"
"38","H0IN02190","WALORSKI SWIHART, JACKIE","REP",2018,"H","IN",2,"C00468579"
"39","H0IN04170","ROKITA, THEODORE EDWARD","REP",2018,"H","IN",4,"C00476192"
"40","H0IN06084","GRIESEY, DARIN PATRICK","DEM",2018,"H","IN",4,"C00668632"
"41","H0IN07199","KERN, BOB","DEM",2018,"H","IN",7,""
"42","H0IN08114","BUCSHON, LARRY D.","REP",2018,"H","IN",8,"C00468256"
"43","H0KS03137","YODER, KEVIN","REP",2018,"H","KS",3,"C00472365"
"44","H0KS04051","POMPEO, MICHAEL R","REP",2018,"H","KS",4,"C00460402"
"45","H0KY02061","PEDIGO, BRIAN","DEM",2018,"H","KY",2,""
"46","H0KY05015","ROGERS, HAROLD DALLAS","REP",2018,"H","KY",5,"C00116632"
"47","H0KY06104","BARR, GARLAND ANDY","REP",2018,"H","KY",6,"C00467571"
"48","H0LA01087","SCALISE, STEVE MR","REP",2018,"H","LA",1,"C00394957"
"49","H0MA10082","KEATING, WILLIAM RICHARD","DEM",2018,"H","MA",9,"C00479063"
"50","H0MD07056","SMITH, CHARLES U","DEM",2018,"H","MD",7,""
"51","H0MI02094","HUIZENGA, WILLIAM P","REP",2018,"H","MI",2,"C00459297"
"52","H0MI03126","AMASH, JUSTIN","REP",2018,"H","MI",3,"C00476291"
"53","H0MN01045","HAGEDORN, JAMES","REP",2018,"H","MN",1,"C00550707"
"54","H0MO01066","CLAY, WILLIAM LACY JR","DEM",2018,"H","MO",1,"C00346080"
"55","H0MO04086","HARTZLER, VICKY","REP",2018,"H","MO",4,"C00464602"
"56","H0MO06073","GRAVES, SAMUEL B JR 'SAM'","REP",2018,"H","MO",6,"C00359034"
"57","H0MO07113","LONG, BILLY MR.","REP",2018,"H","MO",7,"C00460063"
"58","H0MS04120","PALAZZO, STEVEN MCCARTY","REP",2018,"H","MS",4,"C00477323"
"59","H0NC01036","WILEY, ALBERT LEE JR","REP",2018,"H","NC",10,"C00602979"
"60","H0NC10177","GREGORY, JEFF","REP",2018,"H","NC",10,"C00610444"
"61","H0ND01026","CRAMER, KEVIN MR.","REP",2018,"H","ND",0,"C00504704"
